depth_nm,value
133.00,2.502073e-04
133.50,2.458958e-04
134.00,2.417015e-04
134.50,2.376207e-04
135.00,2.336498e-04
135.50,2.297855e-04
136.00,2.260242e-04
136.50,2.223629e-04
137.00,2.187984e-04
137.50,2.153275e-04
138.00,2.119475e-04
138.50,2.086553e-04
139.00,2.054484e-04
139.50,2.023240e-04
140.00,1.992795e-04
140.50,1.963125e-04
141.00,1.934205e-04
141.50,1.906012e-04
142.00,1.878523e-04
142.50,1.851716e-04
143.00,1.825570e-04
143.50,1.800065e-04
144.00,1.775181e-04
144.50,1.750898e-04
145.00,1.727197e-04
145.50,1.704062e-04
146.00,1.681474e-04
146.50,1.659416e-04
147.00,1.637873e-04
147.50,1.616828e-04
148.00,1.596268e-04
148.50,1.576182e-04
149.00,1.556597e-04
149.50,1.537733e-04
150.00,1.521038e-04
